"Story","Title","Result","Date","Stability","Duration (s)"
"CURD test with steps","Get all Products","SUCCESS","2023-01-02T21:03:25.522Z[Europe/London]","0.0","5.98"
"CURD test with steps","Create new Product","SUCCESS","2023-01-02T21:03:31.551Z[Europe/London]","0.0","0.72"
"CURD test with steps","Verify new product's created in application","SUCCESS","2023-01-02T21:03:32.275Z[Europe/London]","0.0","1.27"
"CURD test with steps","Update the product and verify the product information is updated","SUCCESS","2023-01-02T21:03:33.553Z[Europe/London]","0.0","0.61"
"CURD test with steps","Delete the product and verify if the product is deleted","SUCCESS","2023-01-02T21:03:34.164Z[Europe/London]","0.0","0.09"
"CURD test with steps","Get all Stores","SUCCESS","2023-01-02T21:03:34.260Z[Europe/London]","0.0","0.13"
"CURD test with steps","Create new Store","SUCCESS","2023-01-02T21:03:34.397Z[Europe/London]","0.0","0.12"
"CURD test with steps","Verify new store's created in application","SUCCESS","2023-01-02T21:03:34.519Z[Europe/London]","0.0","0.23"
"CURD test with steps","Delete the product and verify if the product is deleted","SUCCESS","2023-01-02T21:03:34.883Z[Europe/London]","0.0","0.08"
